id,cluster,set,question
115,Social Relationships,B,"I go for long periods without meaningful social contact."
116,Social Relationships,B,"My relationships feel superficial or lacking in trust."
117,Social Relationships,B,"I hesitate to ask for help, feeling I can't rely on others for support."
118,Social Relationships,B,"I feel overwhelmed by social obligations and crave more alone time."
119,Social Relationships,B,"I struggle to share my true thoughts and feelings with others."
120,Social Relationships,B,"I feel disconnected or out of place in my social groups."
121,Cognitive Function,A,"My thoughts are generally clear and focused."
122,Cognitive Function,A,"I can easily recall words and names when I need them."
123,Cognitive Function,A,"I can control my focus, shifting between tasks as needed."
124,Cognitive Function,A,"I'm aware of time passing and can manage my time effectively."
125,Cognitive Function,A,"I can easily comprehend and retain new information when reading."
126,Cognitive Function,A,"I can initiate tasks without significant mental effort."
127,Cognitive Function,A,"My memory for recent events and information is reliable."
128,Cognitive Function,A,"I can multitask effectively when necessary."
129,Cognitive Function,A,"I can articulate my thoughts clearly in conversations or writing."
130,Cognitive Function,A,"I can maintain concentration even in distracting environments."
131,Cognitive Function,B,"I often experience ""brain fog"" or mental cloudiness."
132,Cognitive Function,B,"I frequently struggle to find the right words or remember names."
133,Cognitive Function,B,"I find myself hyperfocusing on tasks without intending to."
134,Cognitive Function,B,"I lose track of time easily, working for long periods without realizing."
135,Cognitive Function,B,"I have difficulty understanding or remembering what I've just read."
136,Cognitive Function,B,"I struggle to start tasks, feeling mentally ""stuck"" (executive dysfunction)."
137,Cognitive Function,B,"I often forget recent conversations or information I've just learned."
138,Cognitive Function,B,"Switching between tasks feels overwhelming and disorienting."
139,Cognitive Function,B,"I have trouble organizing my thoughts or expressing them coherently."
140,Cognitive Function,B,"My mind often feels like it's racing and I can't slow my thoughts."
141,Motivation and Purpose,A,"I have a clear sense of direction in my life."
142,Motivation and Purpose,A,"I feel I'm on the right path, aligned with my goals and values."
143,Motivation and Purpose,A,"My daily activities are meaningful and align with what I care about."
144,Motivation and Purpose,A,"The people in my life support and contribute to my sense of purpose."
145,Motivation and Purpose,A,"I have a clear understanding of my personal values and live by them."
146,Motivation and Purpose,A,"I would continue much of what I do even if money were no object."
147,Motivation and Purpose,A,"I feel a sense of pride and accomplishment in my work and activities."
148,Motivation and Purpose,A,"I'm excited about my future and the possibilities it holds."
149,Motivation and Purpose,A,"I feel my life has a meaningful impact on others or the world."
150,Motivation and Purpose,A,"I wake up most days feeling motivated and purposeful."
151,Motivation and Purpose,B,"I feel lost or directionless in life."
152,Motivation and Purpose,B,"I often feel like I'm on the wrong path or have made wrong choices."
153,Motivation and Purpose,B,"My daily activities feel meaningless or disconnected from my values."
154,Motivation and Purpose,B,"The people in my life don't support or understand my goals and aspirations."
155,Motivation and Purpose,B,"I struggle to identify my core values or live up to them."
156,Motivation and Purpose,B,"I would completely change my life if I had unlimited resources."
157,Motivation and Purpose,B,"I rarely feel proud of my work or accomplishments."
158,Motivation and Purpose,B,"I feel anxious or apathetic about my future."
159,Motivation and Purpose,B,"I doubt whether my life makes any significant difference to others or the world."
160,Motivation and Purpose,B,"I often struggle to find motivation or purpose in my daily life."
161,Emotional Regulation,A,"I'm generally aware of my emotions and what triggers them."
162,Emotional Regulation,A,"I have effective strategies to improve my mood when needed."
163,Emotional Regulation,A,"I've established healthy routines that support my emotional well-being."
164,Emotional Regulation,A,"I feel in control of my emotional responses to situations."
165,Emotional Regulation,A,"I can maintain composure even when faced with minor annoyances."
166,Emotional Regulation,A,"I'm able to create emotional distance from people or situations that bother me."
167,Emotional Regulation,A,"I can express my emotions in a healthy and constructive manner."
168,Emotional Regulation,A,"I recover quickly from setbacks or disappointments."
169,Emotional Regulation,A,"I can calm myself down when feeling stressed or overwhelmed."
170,Emotional Regulation,A,"I'm able to experience and process difficult emotions without being overwhelmed by them."
171,Emotional Regulation,B,"I often feel confused about my emotions or why I'm feeling them."
172,Emotional Regulation,B,"I struggle to find ways to improve my mood when I'm feeling down."
173,Emotional Regulation,B,"My emotional state feels chaotic and unpredictable most days."
174,Emotional Regulation,B,"I feel like my emotions control me, rather than the other way around."
175,Emotional Regulation,B,"Small annoyances often get under my skin and affect me significantly."
176,Emotional Regulation,B,"I have difficulty distancing myself emotionally from troubling people or situations."
177,Emotional Regulation,B,"I often express my emotions in ways that I later regret."
178,Emotional Regulation,B,"Setbacks or disappointments tend to affect me for a long time."
179,Emotional Regulation,B,"When stressed or overwhelmed, I struggle to calm myself down."
180,Emotional Regulation,B,"Difficult emotions often feel overwhelming and unmanageable."
181,Self-Care and Leisure,A,"I consistently make time for myself and my personal needs."
182,Self-Care and Leisure,A,"I regularly experience joy and pleasure in my daily life."
183,Self-Care and Leisure,A,"I treat my body with respect, prioritizing its health and well-being."
184,Self-Care and Leisure,A,"I have effective strategies to recover from stressful or demanding days."
185,Self-Care and Leisure,A,"I actively invest time and resources in activities that promote my well-being and enjoyment."
186,Self-Care and Leisure,A,"I engage in hobbies or interests that are purely for my own enjoyment."
187,Self-Care and Leisure,A,"I set and maintain healthy boundaries to protect my personal time."
188,Self-Care and Leisure,A,"I feel refreshed and recharged after my leisure activities."
189,Self-Care and Leisure,A,"I prioritize rest and relaxation without feeling guilty."
190,Self-Care and Leisure,A,"I have a good balance between productivity and leisure in my life."
191,Self-Care and Leisure,B,"I struggle to find time for myself amid my responsibilities."
192,Self-Care and Leisure,B,"I rarely feel a sense of joy or pleasure in my daily activities."
193,Self-Care and Leisure,B,"I often neglect my physical health and well-being."
194,Self-Care and Leisure,B,"After stressful days, I find it hard to unwind or recover effectively."
195,Self-Care and Leisure,B,"I seldom invest in activities solely for my own enjoyment or health."
196,Self-Care and Leisure,B,"I've lost touch with hobbies or interests that once brought me pleasure."
197,Self-Care and Leisure,B,"I often let others' needs override my own need for personal time."
198,Self-Care and Leisure,B,"My leisure activities often leave me feeling drained rather than refreshed."
199,Self-Care and Leisure,B,"I feel guilty when I take time to rest or relax."
200,Self-Care and Leisure,B,"My life feels overwhelmingly focused on work or obligations, with little room for leisure."
201,Stress Management,A,"I can handle daily challenges without becoming overly stressed."
202,Stress Management,A,"I proactively plan and organize to minimize potential stressors."
203,Stress Management,A,"I rarely feel caught off guard by unexpected situations at work or home."
204,Stress Management,A,"I have effective strategies to cope with various life challenges."
205,Stress Management,A,"Unplugging at the end of the day significantly reduces my stress levels."
206,Stress Management,A,"I engage in reliable activities that help me release tension and stress."
207,Stress Management,A,"I have a strong support network that helps me navigate life's ups and downs."
208,Stress Management,A,"I can identify signs of stress in myself early and take action to address them."
209,Stress Management,A,"I maintain a positive outlook even when facing difficult situations."
210,Stress Management,A,"I can adapt quickly to changes and new circumstances without excessive stress."
211,Stress Management,B,"I feel stressed out almost every day, as if on a predictable schedule."
212,Stress Management,B,"I often feel unprepared for stressful situations, dealing with them as they arise."
213,Stress Management,B,"Unexpected events frequently throw me off balance at work or home."
214,Stress Management,B,"I feel ill-equipped to handle many of life's challenges effectively."
215,Stress Management,B,"Even after unplugging at day's end, I still feel wound up and stressed."
216,Stress Management,B,"I struggle to find effective ways to relieve stress and tension."
217,Stress Management,B,"I feel isolated in dealing with life's difficulties, lacking a support network."
218,Stress Management,B,"I often don't recognize I'm stressed until I'm already overwhelmed."
219,Stress Management,B,"Difficult situations often lead me to feel pessimistic and defeated."
220,Stress Management,B,"Changes and new circumstances typically cause me significant stress and anxiety."
221,Work-Life Balance,A,"I maintain clear boundaries between my work and personal life."
222,Work-Life Balance,A,"I engage in work during designated hours and disconnect afterwards."
223,Work-Life Balance,A,"I find my work generally fulfilling and enjoyable."
224,Work-Life Balance,A,"I have a healthy balance between my professional and personal activities."
225,Work-Life Balance,A,"I feel empowered to decline work requests that infringe on my personal time."
226,Work-Life Balance,A,"My work is an important part of my life, but it doesn't define me entirely."
227,Work-Life Balance,A,"I manage my energy well, avoiding overwork and burnout."
228,Work-Life Balance,A,"I have ample time for personal interests and relationships outside of work."
229,Work-Life Balance,A,"I can fully engage in leisure activities without thinking about work."
230,Work-Life Balance,A,"My workplace respects and supports my need for work-life balance."
231,Work-Life Balance,B,"The line between my work and personal life is often blurred."
232,Work-Life Balance,B,"I find myself working or thinking about work at all hours."
233,Work-Life Balance,B,"I frequently dread going to work or engaging in work tasks."
234,Work-Life Balance,B,"My work commitments often overshadow my personal life."
235,Work-Life Balance,B,"I feel pressured to accept work demands, even when they interfere with my personal time."
236,Work-Life Balance,B,"My work consumes my thoughts and energy, leaving little for other aspects of life."
237,Work-Life Balance,B,"I often feel I'm burning the candle at both ends, sacrificing personal time for work."
238,Work-Life Balance,B,"I struggle to find time for personal interests or relationships due to work demands."
239,Work-Life Balance,B,"Even during leisure time, I'm preoccupied with work-related thoughts."
240,Work-Life Balance,B,"My workplace expectations make it difficult to maintain a healthy work-life balance."
